Acronym,Identifier
CHI,Human Factors in Computing Systems
UIST,User Interface Software and Technology
CSCW,Computer-Supported Cooperative Work
IMWUT,Interactive, Mobile, Wearable and Ubiquitous Technologies
CSCW,Proceedings of the ACM on Human-Computer Interaction
ASSETS,Computers and Accessibility
ASSETS,Accessibility and Computing
DIS,Designing Interactive Systems
TEI,"Tangible, Embedded, and Embodied Interaction"
ISS,Interactive Surfaces and Spaces
IJHCS,Human-Computer Studies
SUI,Spatial User Interaction
IUI,Intelligent User Interfaces
TOCHI,Transactions on Computer-Human Interaction
INTERACT,Human-Computer Interaction – INTERACT
GI,Graphics Interface
TACCESS,Transactions on Accessible Computing
ISWC,International Symposium on Wearable Computers
VR,Virtual Reality and 3D User Interfaces
NordiCHI,Nordic Conference on Human-Computer Interaction
NordiCHI,Nordic Human-Computer Interaction Conference
OzCHI,Australian Conference on Computer-Human Interaction
VRST,Virtual Reality Software and Technology
NA,Behaviour and Information Technology
AutomotiveUI,Automotive User Interfaces and Interactive Vehicular Applications
ITS,Interactive Tabletops and Surfaces
TAC,Transactions on Affective Computing
HRI,Human Robot Interaction
IJHCI,Journal of Human-Computer Interaction
SMC,Transactions on Human-Machine Systems
ETRA,Eye Tracking Research and Applications
GROUP,Supporting Group Work
IMX,Interactive Media Experiences
C&C,Creativity and Cognition
IDC,Interaction Design and Children
UMAP,"User Modeling, Adaptation and Personalization"
EICS,Engineering Interactive Computing Systems
MobileHCI,Mobile Human-Computer Interaction
MobileHCI,Human-Computer Interaction with Mobile Devices and Services
COMPASS,Computing and Sustainable Societies
RecSys,Recommender Systems
CI,Collective Intelligence
CHI PLAY,Computer-Human Interaction in Play
ICMI,Multimodal Interaction
NA,Interactive Mobile Technologies
NA,Universal Access in the Information Society
Ubicomp,Pervasive and ubiquitous computing
EICS,Engineering interactive computing systems
HCII,HCI International
